scheme,attrs,signature_size_bytes,signature_size_expr
Luo et al. [32],4,12288,O(ell)
Luo et al. [35],4,18432,O(ell*poly(n))
Liu et al. [39],4,12288,O(ell)
Kong et al. [40],4,6144,O(1)
Luo et al. [38],4,6144,O(1)
Proposed scheme,4,6144,O(1)
Luo et al. [32],8,24576,O(ell)
Luo et al. [35],8,36864,O(ell*poly(n))
Liu et al. [39],8,24576,O(ell)
Kong et al. [40],8,6144,O(1)
Luo et al. [38],8,6144,O(1)
Proposed scheme,8,6144,O(1)
Luo et al. [32],16,49152,O(ell)
Luo et al. [35],16,73728,O(ell*poly(n))
Liu et al. [39],16,49152,O(ell)
Kong et al. [40],16,6144,O(1)
Luo et al. [38],16,6144,O(1)
Proposed scheme,16,6144,O(1)
Luo et al. [32],32,98304,O(ell)
Luo et al. [35],32,147456,O(ell*poly(n))
Liu et al. [39],32,98304,O(ell)
Kong et al. [40],32,6144,O(1)
Luo et al. [38],32,6144,O(1)
Proposed scheme,32,6144,O(1)
Luo et al. [32],64,196608,O(ell)
Luo et al. [35],64,294912,O(ell*poly(n))
Liu et al. [39],64,196608,O(ell)
Kong et al. [40],64,6144,O(1)
Luo et al. [38],64,6144,O(1)
Proposed scheme,64,6144,O(1)
Luo et al. [32],128,393216,O(ell)
Luo et al. [35],128,589824,O(ell*poly(n))
Liu et al. [39],128,393216,O(ell)
Kong et al. [40],128,6144,O(1)
Luo et al. [38],128,6144,O(1)
Proposed scheme,128,6144,O(1)
Luo et al. [32],256,786432,O(ell)
Luo et al. [35],256,1179648,O(ell*poly(n))
Liu et al. [39],256,786432,O(ell)
Kong et al. [40],256,6144,O(1)
Luo et al. [38],256,6144,O(1)
Proposed scheme,256,6144,O(1)
